"Trait","SI","X0","X0_GEBV","X0_GETGV","X0_BLUPS","XS_BLUPS","XS_GEBV","XS_GETGV","XS_GEBV_BLUP","XS_GETGV_BLUP","XS_GETGV_GEBV","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"Root.Le",20,23.2147300289559,23.2076992339125,23.2039009317036,23.210053266615,25.3815056653953,23.9419765355396,23.9204697607737,23.8981093517687,23.8714574116206,23.9438046094688,0.325053596510682,0.340393287499076,0.846603090116064,0.524469579359799,0.57048865232498,0.325053596510682,0.800584017150884,0.723885562208916,0.938641236046426,0.78524432616249,0.769904635174096,0.907961854069638
"Root.Le",25,23.2147300289559,23.2076992339125,23.2039009317036,23.210053266615,25.1431160447579,23.8852503261071,23.872223195105,23.8380056499268,23.8093385365844,23.8748277218956,0.33262912278489,0.33262912278489,0.882228668726745,0.542000378381787,0.581257488806205,0.33262912278489,0.790628744403103,0.751371633978684,0.947657186100776,0.76445733745349,0.751371633978684,0.93457148262597
"Root.Le",30,23.2147300289559,23.2076992339125,23.2039009317036,23.210053266615,25.0421118398676,23.8489407248377,23.8314115574055,23.7717477255224,23.7345343524178,23.8107630519277,0.358379715522573,0.311716422106033,0.86001011975038,0.591696182605274,0.626693652667679,0.346713892168438,0.766683532917299,0.685022769438354,0.95333670658346,0.696688592792489,0.685022769438354,0.895007589812785
"Root.Di",10,28.8785406234032,28.8710335126707,28.8710687013906,28.8165269890489,32.8038743074499,30.0537679842849,30.0683487617422,29.7604824930162,29.7654967737264,29.9656862742327,0.114666666666667,0.114666666666667,1,0.529666666666667,0.529666666666667,0.114666666666667,0.585,0.585,1,0.585,0.585,1
"Root.Di",15,28.8785406234032,28.8710335126707,28.8710687013906,28.8165269890489,32.1313999778984,29.9328484670193,29.9444040477584,29.688910096693,29.6916473309998,29.8307369404878,0.142723004694836,0.103755868544601,0.961032863849765,0.5518779342723,0.5518779342723,0.123239436619718,0.590845070422535,0.590845070422535,0.980516431924883,0.5518779342723,0.5518779342723,0.980516431924883
"Root.Di",20,28.8785406234032,28.8710335126707,28.8710687013906,28.8165269890489,31.9188406767037,29.7976264803295,29.7947888695933,29.629564047677,29.6266772205205,29.7319625796831,0.233015450580321,0.248355141568715,0.953980927034819,0.539809270348192,0.555148961336586,0.233015450580321,0.693206180232128,0.662526798255341,0.984660309011607,0.693206180232128,0.693206180232128,0.969320618023213
"Root.Di",25,28.8785406234032,28.8710335126707,28.8710687013906,28.8165269890489,31.5983129518536,29.6843602748694,29.6817199273005,29.5523255652993,29.562703671019,29.6511894508367,0.267200605410859,0.280286308885666,0.960742889575582,0.594343192281012,0.581257488806205,0.280286308885666,0.672857413129848,0.685943116604654,0.973828593050388,0.685943116604654,0.69902882007946,0.986914296525194
"Root.Di",30,28.8785406234032,28.8710335126707,28.8710687013906,28.8165269890489,31.351794996314,29.6289370773105,29.6310702797549,29.479902999121,29.4892049287111,29.5817431616939,0.265053128689492,0.265053128689492,0.97666835329173,0.591696182605274,0.580030359251139,0.265053128689492,0.673356946084219,0.685022769438354,1,0.673356946084219,0.685022769438354,0.97666835329173
"Stem.D",10,2.1124893018018,2.11279171920325,2.11281670155409,2.11055841515013,2.27746941856967,2.16671250838153,2.1692789461951,2.15388870536592,2.15751397096311,2.16966312234254,0.161014738489631,0.0798226164079826,0.756423633755054,0.648167470979523,0.566975348897874,0.133950697795748,0.512847267510109,0.539911308203991,0.864679796530586,0.377527064040694,0.512847267510109,0.891743837224468
"Stem.D",15,2.1124893018018,2.11279171920325,2.11281670155409,2.11055841515013,2.25750797730618,2.16032487038618,2.1613260420616,2.15287425556599,2.15343245721035,2.16214791434983,0.203600475189619,0.165676688293886,0.84830485241707,0.620762131042676,0.601800237594809,0.203600475189619,0.582838344146943,0.582838344146943,0.924152426208535,0.506990770355478,0.563876450699077,0.924152426208535
"Stem.D",20,2.1124893018018,2.11279171920325,2.11281670155409,2.11055841515013,2.24235760409109,2.15541205798423,2.1537421053794,2.15063894383213,2.14906061801481,2.15619148215949,0.270490002197319,0.224895627334651,0.802424375595107,0.620046876144437,0.635245001098659,0.270490002197319,0.650443126052882,0.620046876144437,0.924009375228887,0.57445250128177,0.589650626235992,0.87841500036622
"Stem.D",25,2.1124893018018,2.11279171920325,2.11281670155409,2.11055841515013,2.2262866961929,2.15207133834017,2.14978348782689,2.14511429275855,2.145213971324,2.1518860986758,0.302651232262882,0.289737366193677,0.845033607169529,0.702981080408265,0.702981080408265,0.302651232262882,0.599670151854618,0.599670151854618,0.909602937515559,0.573842419716206,0.586756285785412,0.93543066965397
"Stem.D",30,2.1124893018018,2.11279171920325,2.11281670155409,2.11055841515013,2.21279078030837,2.14765297958723,2.14736783277046,2.14002973206225,2.14158452216018,2.14808731499499,0.298442523001885,0.298442523001885,0.815984924066068,0.781482097328456,0.746979270590844,0.309943465247755,0.516960425673429,0.505459483427558,0.907992462033034,0.505459483427558,0.551463252411041,0.907992462033034
"Nstem.Plant",10,2.13093591516828,2.13018087799706,2.13021762087051,2.13371897800181,2.57627888453237,2.21439772986832,2.22093152895719,2.19639786201256,2.19254896079386,2.20953073988608,0.0238575268817198,0.0238575268817198,1,0.442204301075269,0.477066532258064,0.0238575268817198,0.581653225806451,0.546790994623656,1,0.581653225806451,0.546790994623656,1
"Nstem.Plant",15,2.13093591516828,2.13018087799706,2.13021762087051,2.13371897800181,2.49378583292894,2.20989697643017,2.20856508498612,2.19028051707413,2.18869215238825,2.19984425152965,0.136216466234968,0.112222479185939,0.952012025901943,0.472132284921369,0.496126271970398,0.136216466234968,0.664084181313598,0.64009019426457,0.976006012950971,0.64009019426457,0.616096207215541,0.976006012950971
"Nstem.Plant",20,2.13093591516828,2.13018087799706,2.13021762087051,2.13371897800181,2.4615148152897,2.2003452454047,2.20095548132393,2.18468234861915,2.18288378777164,2.19294761586483,0.139159451659452,0.139159451659452,0.88771645021645,0.550865800865801,0.569579725829726,0.139159451659452,0.588293650793651,0.569579725829726,0.9251443001443,0.569579725829726,0.569579725829726,0.96257215007215
"Nstem.Plant",25,2.13093591516828,2.13018087799706,2.13021762087051,2.13371897800181,2.4299579107277,2.198289819401,2.19452386270439,2.18098786567179,2.17816254382177,2.18750226108049,0.249547920433996,0.233913502109705,0.968731163351416,0.577870705244123,0.624773960216998,0.249547920433996,0.671677215189873,0.624773960216998,1,0.64040837854129,0.609139541892707,0.968731163351416
"Nstem.Plant",30,2.13093591516828,2.13018087799706,2.13021762087051,2.13371897800181,2.39974503701252,2.19044321106852,2.18729708359297,2.17670505082666,2.17510002258602,2.18311666931417,0.290131578947369,0.262828947368421,0.959046052631579,0.549506578947368,0.576809210526316,0.276480263157895,0.740625,0.713322368421053,0.986348684210526,0.713322368421053,0.686019736842105,0.972697368421053
